2022.11.17 10:23:44 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2022.11.17 10:23:44 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=55ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2022.11.17 10:23:44 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=80ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=85ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=30ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table': success | time=57ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160': success | time=26ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500': success | time=19ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table': success | time=25ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios''...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios'': success | time=35ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table': success | time=37ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references''...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references'': success | time=22ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table'...
